City_ID,City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed
4231997,Avera,US,1612983871,33.194,-82.5271,75,77,70.0,4.61
1835848,Seoul,KR,1612983810,37.5683,126.9778,75,93,33.8,2.3
1487332,Verkhnyaya Inta,RU,1612983871,65.9811,60.3094,100,87,-20.49,7.0
57000,Hobyo,SO,1612983871,5.3505,48.5268,42,76,77.58,20.87
3414079,Olafsvik,IS,1612983871,64.8945,-23.7142,100,85,35.89,15.82
1176515,Jacobabad,PK,1612983634,28.281,68.4388,15,26,65.03,1.43
1040652,Maputo,MZ,1612983646,-25.9653,32.5892,20,69,82.4,11.5
2021031,Kyren,RU,1612983872,51.6828,102.1408,100,89,7.57,0.58
1785036,Zhangye,CN,1612983873,38.9342,100.4517,77,75,32.52,4.9
609404,Khromtau,KZ,1612983873,50.2503,58.4347,100,96,5.86,10.02
1735106,George Town,MY,1612983811,5.4112,100.3354,20,78,82.4,2.3
53372,Oodweyne,SO,1612983874,9.4092,45.064,57,40,63.97,9.06
2180815,Tuatapere,NZ,1612983874,-46.1333,167.6833,100,91,50.85,15.7
962367,Richards Bay,ZA,1612983874,-28.783,32.0377,83,84,76.8,5.41
3374210,São Filipe,CV,1612983874,14.8961,-24.4956,4,72,72.43,12.1
2123979,Kuril'sk,RU,1612983874,45.2333,147.8833,98,91,18.82,11.92
3899695,Ancud,CL,1612983825,-41.8697,-73.8203,0,44,82.4,9.22
2127060,Arman',RU,1612983875,59.7,150.1667,100,89,13.21,12.73
1516048,Khovd,MN,1612983875,48.0056,91.6419,47,56,12.27,10.56
3660401,Bahía de Caráquez,EC,1612983875,-0.6,-80.4167,40,74,82.4,4.61
3894426,Coyhaique,CL,1612983820,-45.5752,-72.0662,0,25,91.4,9.22
2019935,Mnogovershinnyy,RU,1612983876,53.9353,139.9242,100,96,6.91,8.55
1264976,Leh,IN,1612983876,34.1667,77.5833,34,75,11.93,2.55
3893726,Constitución,CL,1612983844,-35.3333,-72.4167,14,65,70.65,6.93
174448,Abu Kamal,SY,1612983876,34.4506,40.9171,0,36,63.95,8.75
1490256,Talnakh,RU,1612983876,69.4865,88.3972,38,82,-13.36,4.85
4034551,Faanui,PF,1612983819,-16.4833,-151.75,0,67,81.23,10.96
1106677,Bambous Virieux,MU,1612983809,-20.3428,57.7575,40,74,80.6,11.5
5546220,Saint George,US,1612983604,37.1041,-113.5841,1,40,60.01,3.15
3892454,Diego de Almagro,CL,1612983877,-26.3667,-70.05,0,21,83.14,16.4
6180550,Whitehorse,CA,1612983650,60.7161,-135.0538,20,68,-29.2,2.3
1337612,Dhidhdhoo,MV,1612983878,6.8833,73.1,69,63,81.75,3.87
5972291,Havre-St-Pierre,CA,1612983878,50.2334,-63.5986,1,48,12.2,14.97
546105,Nikolskoye,RU,1612983878,59.7035,30.7861,40,85,9.0,2.24
3761194,Miraflores,MX,1612983878,19.2167,-98.8083,40,25,73.4,6.91
3230781,Hella,NO,1612983878,67.2,14.4333,90,79,19.4,9.22
1634614,Nabire,ID,1612983879,-3.3667,135.4833,100,89,76.71,0.94
1168700,Ormara,PK,1612983879,25.2088,64.6357,100,51,72.61,8.1
3419842,Sisimiut,GL,1612983879,66.9395,-53.6735,0,84,15.22,5.44
5044290,Saint Anthony,US,1612983731,45.0205,-93.218,1,47,7.0,11.5
3382160,Cayenne,GF,1612983606,4.9333,-52.3333,75,94,77.0,3.44
498711,Sarai,RU,1612983880,53.7458,41.0213,100,95,8.11,9.6
1180729,Dalbandin,PK,1612983880,28.8947,64.4101,0,33,56.77,4.88
4588165,Mt. Pleasant,US,1612983880,32.7941,-79.8626,90,94,62.01,6.91
53654,Mogadishu,SO,1612983835,2.0371,45.3438,63,77,77.54,24.36
2139521,Noumea,NC,1612983800,-22.2763,166.4572,90,100,79.0,2.3
2173911,Broken Hill,AU,1612983881,-31.95,141.4333,0,34,80.6,16.11
3628473,San Cristobal,VE,1612983813,7.7669,-72.225,40,65,82.4,11.5
1529660,Aksu,CN,1612983881,41.1231,80.2644,100,72,35.71,4.23
2215163,Masallātah,LY,1612983881,32.6167,14.0,0,30,64.56,4.43
3530103,San Miguel de Cozumel,MX,1612983881,20.5083,-86.9458,40,65,84.2,11.5
1636544,Manado,ID,1612983882,1.487,124.8455,20,94,75.2,2.3
1047660,Cuamba,MZ,1612983729,-14.8031,36.5372,100,94,71.96,3.91
1852357,Shimoda,JP,1612983882,34.6667,138.95,0,65,39.0,1.99
3105522,Bereda,ES,1612983882,43.2686,-7.5406,100,83,50.0,5.01
1269439,Navsari,IN,1612983733,20.9524,72.9324,100,32,69.96,1.95
2065594,Mount Isa,AU,1612983869,-20.7333,139.5,40,69,82.4,4.61
1862505,Hirara,JP,1612983883,24.8,125.2833,100,84,70.68,23.67
2112802,Hasaki,JP,1612983883,35.7333,140.8333,20,65,37.4,3.44
2013279,Vostok,RU,1612983883,46.4856,135.8833,82,92,-4.18,4.36
4174715,Tallahassee,US,1612983883,30.4383,-84.2807,90,83,69.8,5.75
